client_id,day,total_amount,transaction_count,anomaly_score,is_anomaly
0,2019-01-01,472.67999999999995,2,-1,1
0,2019-01-15,1016.24,4,-1,1
0,2019-02-02,541.35,8,-1,1
0,2019-02-11,-289.76000000000005,6,-1,1
0,2019-02-22,622.68,9,-1,1
0,2019-03-30,617.36,4,-1,1
0,2019-04-09,441.67,9,-1,1
0,2019-05-12,1038.53,6,-1,1
0,2019-06-11,-156.71000000000004,6,-1,1
0,2019-07-03,580.97,9,-1,1
0,2019-08-18,604.39,1,-1,1
0,2019-09-12,543.9200000000001,8,-1,1
0,2019-09-29,664.62,6,-1,1
0,2019-09-30,942.9699999999999,3,-1,1
0,2019-10-10,-166.0,5,-1,1
1,2019-06-29,657.88,4,-1,1
1,2019-07-02,815.9,3,-1,1
1,2019-07-03,-439.53,7,-1,1
1,2019-09-03,640.85,7,-1,1
1,2019-09-06,1180.3899999999999,5,-1,1
1,2019-09-07,-212.82,4,-1,1
3,2019-02-25,606.11,4,-1,1
3,2019-03-03,-165.49000000000004,4,-1,1
3,2019-04-15,912.02,4,-1,1
3,2019-05-13,599.0,2,-1,1
3,2019-05-16,-206.49999999999997,6,-1,1
3,2019-08-24,704.0,2,-1,1
3,2019-08-31,-265.4,5,-1,1
4,2019-01-02,534.24,3,-1,1
4,2019-01-04,566.45,3,-1,1
4,2019-04-10,-263.32,5,-1,1
4,2019-05-16,752.02,8,-1,1
4,2019-05-20,1828.98,9,-1,1
4,2019-05-27,624.71,6,-1,1
4,2019-06-20,846.15,6,-1,1
4,2019-07-28,296.65,11,-1,1
4,2019-08-28,757.51,5,-1,1
4,2019-09-02,-162.07,7,-1,1
5,2019-01-25,475.60999999999996,2,-1,1
5,2019-04-05,633.55,3,-1,1
5,2019-06-15,437.7,2,-1,1
5,2019-06-22,551.73,3,-1,1
5,2019-06-29,436.89,2,-1,1
5,2019-08-21,863.18,3,-1,1
5,2019-08-26,-210.72,3,-1,1
11,2019-01-09,743.5799999999999,8,-1,1
11,2019-03-13,728.2,7,-1,1
11,2019-04-15,1425.79,3,-1,1
11,2019-06-05,623.0,4,-1,1
11,2019-06-26,340.46,1,-1,1
11,2019-07-01,1243.75,4,-1,1
11,2019-08-05,867.9,4,-1,1
11,2019-08-11,738.35,4,-1,1
11,2019-08-21,-300.75,5,-1,1
11,2019-10-25,-228.24,3,-1,1
11,2019-10-30,770.05,4,-1,1
13,2019-03-09,762.28,3,-1,1
13,2019-04-08,699.0799999999999,3,-1,1
13,2019-04-10,-350.18999999999994,6,-1,1
13,2019-09-13,612.69,6,-1,1
13,2019-09-18,665.4300000000001,4,-1,1
